movieId,title,genres,Mean,Number of Ratings
39,Clueless (1995),Comedy|Romance,3.55,120
40,"Cry, the Beloved Country (1995)",Drama,3.9166666666666665,6
41,Richard III (1995),Drama|War,4.021739130434782,23
42,Dead Presidents (1995),Action|Crime|Drama,2.3333333333333335,9
43,Restoration (1995),Drama,3.625,12
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.6973684210526314,38
45,To Die For (1995),Comedy|Drama|Thriller,3.5232558139534884,43
46,How to Make an American Quilt (1995),Drama|Romance,3.1666666666666665,12
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.034825870646766,201
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9262295081967213,61
49,When Night Is Falling (1995),Drama|Romance,4,2
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.370646766169155,201
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.6372549019607843,51
53,Lamerica (1994),Adventure|Drama,5,1
54,"Big Green, The (1995)",Children|Comedy,3.6666666666666665,3
55,Georgia (1995),Drama,3.3333333333333335,6
57,Home for the Holidays (1995),Drama,3.142857142857143,14
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4,45
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4,2
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,2.828125,32
61,Eye for an Eye (1996),Drama|Thriller,3.5714285714285716,7
62,Mr. Holland's Opus (1995),Drama,3.689655172413793,87
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.8333333333333335,6
64,Two if by Sea (1996),Comedy|Romance,2.4,10
65,Bio-Dome (1996),Comedy,2.025,20
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2,5
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.5,8
69,Friday (1995),Comedy,3.8181818181818183,22
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.0208333333333335,48
71,Fair Game (1995),Action,2.4285714285714284,7
72,Kicking and Screaming (1995),Comedy|Drama,3.1666666666666665,6
73,"Misérables, Les (1995)",Drama|War,4.115384615384615,13
74,Bed of Roses (1996),Drama|Romance,3.026315789473684,19
76,Screamers (1995),Action|Sci-Fi|Thriller,3.3333333333333335,15
77,Nico Icon (1995),Documentary,4,2
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.2,10
79,"Juror, The (1996)",Drama|Thriller,2.9615384615384617,26
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.625,4
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.25,18
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.8,10
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3,3
84,Last Summer in the Hamptons (1995),Comedy|Drama,4,1
85,Angels and Insects (1995),Drama|Romance,4.0625,16
86,White Squall (1996),Action|Adventure|Drama,3.764705882352941,17
87,Dunston Checks In (1996),Children|Comedy,1.6666666666666667,3
88,Black Sheep (1996),Comedy,2.891304347826087,23
89,Nick of Time (1995),Action|Thriller,3.4411764705882355,17
92,Mary Reilly (1996),Drama|Horror|Thriller,3.5416666666666665,12
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.227272727272727,11
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.5681818181818183,22
95,Broken Arrow (1996),Action|Adventure|Thriller,3.1774193548387095,93
96,In the Bleak Midwinter (1995),Comedy|Drama,1,1
97,"Hate (Haine, La) (1995)",Crime|Drama,3.875,8
98,Shopping (1994),Action|Thriller,3,1
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,2.75,4
100,City Hall (1996),Drama|Thriller,3.4285714285714284,21
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.8823529411764706,17
102,Mr. Wrong (1996),Comedy,2.590909090909091,11
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,4,4
104,Happy Gilmore (1996),Comedy,3.2925531914893615,94
105,"Bridges of Madison County, The (1995)",Drama|Romance,3.1145833333333335,48
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.462962962962963,27
108,Catwalk (1996),Documentary,4,1
110,Braveheart (1995),Action|Drama|War,3.9451754385964914,228
111,Taxi Driver (1976),Crime|Drama|Thriller,4.22457627118644,118
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.295918367346939,49
113,Before and After (1996),Drama|Mystery,3.2,5
114,Margaret's Museum (1995),Drama,3,1
116,Anne Frank Remembered (1995),Documentary,4.75,6
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3,6
118,If Lucy Fell (1996),Comedy|Romance,2.8,5
119,"Steal Big, Steal Little (1995)",Comedy,3,1
121,"Boys of St. Vincent, The (1992)",Drama,3.8,5
122,Boomerang (1992),Comedy|Romance,3.0526315789473686,19
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,4,7
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3,1
125,Flirting With Disaster (1996),Comedy,3.7142857142857144,21
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.7,10
129,Pie in the Sky (1996),Comedy|Romance,3,1
130,Angela (1995),Drama,4.5,1
131,Frankie Starlight (1995),Drama|Romance,2,1
132,Jade (1995),Thriller,2.875,8
135,Down Periscope (1996),Comedy,3,27
137,Man of the Year (1995),Documentary,1,1
140,Up Close and Personal (1996),Drama|Romance,3.4782608695652173,23
141,"Birdcage, The (1996)",Comedy,3.5806451612903225,93
144,"Brothers McMullen, The (1995)",Comedy,3.326923076923077,26
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.2790697674418605,43
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,4.333333333333333,3
147,"Basketball Diaries, The (1995)",Drama,3.642857142857143,21
148,"Awfully Big Adventure, An (1995)",Drama,4,1
149,Amateur (1994),Crime|Drama|Thriller,4.333333333333333,6
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.9025,200
151,Rob Roy (1995),Action|Drama|Romance|War,3.5625,48
152,"Addiction, The (1995)",Drama|Horror,3.8333333333333335,3
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.7829457364341086,129
154,Beauty of the Day (Belle de jour) (1967),Drama,3.8125,16
155,Beyond Rangoon (1995),Adventure|Drama|War,3.0555555555555554,9
156,Blue in the Face (1995),Comedy|Drama,3.9545454545454546,11
157,Canadian Bacon (1995),Comedy|War,2.375,8
158,Casper (1995),Adventure|Children,2.8706896551724137,58
159,Clockers (1995),Crime|Drama|Mystery,3.9375,8
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.3412698412698414,63
161,Crimson Tide (1995),Drama|Thriller|War,3.83125,80
162,Crumb (1994),Documentary,4.136363636363637,33
163,Desperado (1995),Action|Romance|Western,3.515873015873016,63
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.5576923076923075,26
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.443661971830986,142
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,3,4
167,Feast of July (1995),Drama,4,1
168,First Knight (1995),Action|Drama|Romance,3.116279069767442,43
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.5625,8
170,Hackers (1995),Action|Adventure|Crime|Thriller,3.2884615384615383,26
171,Jeffrey (1995),Comedy|Drama,4.333333333333333,6
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.5729166666666665,48
173,Judge Dredd (1995),Action|Crime|Sci-Fi,2.5642857142857145,70
174,Jury Duty (1995),Comedy,2.25,4
175,Kids (1995),Drama,3.9565217391304346,23
176,Living in Oblivion (1995),Comedy,3.7777777777777777,18
177,Lord of Illusions (1995),Horror,2.8846153846153846,13
178,Love & Human Remains (1993),Comedy|Drama,4.7,5
179,Mad Love (1995),Drama|Romance,3.5,6
180,Mallrats (1995),Comedy|Romance,3.3068181818181817,44
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1.8,15
183,Mute Witness (1994),Comedy|Horror|Thriller,5,1
184,Nadja (1994),Drama,4.5,2
185,"Net, The (1995)",Action|Crime|Thriller,3.1029411764705883,102
186,Nine Months (1995),Comedy|Romance,2.875,48
187,Party Girl (1995),Comedy,2.8333333333333335,3
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,3.125,16
189,Reckless (1995),Comedy|Fantasy,4,1
190,Safe (1995),Thriller,3.8333333333333335,6
191,"Scarlet Letter, The (1995)",Drama|Romance,3,5
193,Showgirls (1995),Drama,2.3142857142857145,35
194,Smoke (1995),Comedy|Drama,4.291666666666667,24
195,Something to Talk About (1995),Comedy|Drama|Romance,3.2142857142857144,14
196,Species (1995),Horror|Sci-Fi,2.809090909090909,55
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.441860465116279,43
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3.3333333333333335,3
200,"Tie That Binds, The (1995)",Thriller,4,1
201,Three Wishes (1995),Drama|Fantasy,4,1
202,Total Eclipse (1995),Drama|Romance,3,4
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.3043478260869565,23
204,Under Siege 2: Dark Territory (1995),Action,3,31
205,Unstrung Heroes (1995),Comedy|Drama,4,4
206,Unzipped (1995),Documentary,3.6,10
207,"Walk in the Clouds, A (1995)",Drama|Romance,3.375,28
208,Waterworld (1995),Action|Adventure|Sci-Fi,2.752212389380531,113
209,White Man's Burden (1995),Drama,2.6,5
211,"Browning Version, The (1994)",Drama,3.3333333333333335,3
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,4.222222222222222,9
214,Before the Rain (Pred dozhdot) (1994),Drama|War,3,2
215,Before Sunrise (1995),Drama|Romance,3.7222222222222223,18
216,Billy Madison (1995),Comedy,3.0238095238095237,42
217,"Babysitter, The (1995)",Drama|Thriller,2.7142857142857144,7
218,Boys on the Side (1995),Comedy|Drama,3.3333333333333335,15
219,"Cure, The (1995)",Drama,4.25,4
220,Castle Freak (1995),Horror,3,2
222,Circle of Friends (1995),Drama|Romance,3.9318181818181817,22
223,Clerks (1994),Comedy,3.963302752293578,109
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,3.6,35
225,Disclosure (1994),Drama|Thriller,3.173076923076923,52
227,Drop Zone (1994),Action|Thriller,3.15625,16
228,Destiny Turns on the Radio (1995),Comedy,2,1
229,Death and the Maiden (1994),Drama|Thriller,4.083333333333333,12
230,Dolores Claiborne (1995),Drama|Thriller,3.7,25
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3.1107594936708862,158
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,4.208333333333333,24
233,Exotica (1994),Drama,4.269230769230769,13
234,Exit to Eden (1994),Comedy,2.75,12
235,Ed Wood (1994),Comedy|Drama,3.9038461538461537,78
236,French Kiss (1995),Action|Comedy|Romance,3.3583333333333334,60
237,Forget Paris (1995),Comedy|Romance,3.1911764705882355,34
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,3,5
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,2.933333333333333,15
240,Hideaway (1995),Thriller,3.4,5
241,Fluke (1995),Children|Drama,3.5,4
242,Farinelli: il castrato (1994),Drama|Musical,3.75,4
243,Gordy (1995),Children|Comedy|Fantasy,4,1
244,Gumby: The Movie (1995),Animation|Children,3,1
245,The Glass Shield (1994),Crime|Drama,3,1
246,Hoop Dreams (1994),Documentary,4.040983606557377,61
247,Heavenly Creatures (1994),Crime|Drama,3.6511627906976742,43
248,Houseguest (1994),Comedy,3.1538461538461537,13
249,Immortal Beloved (1994),Drama|Romance,3.375,20
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,3.25,4
251,"Hunted, The (1995)",Action,3,1
252,I.Q. (1994),Comedy|Romance,3.0609756097560976,41
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,3.396,125
254,Jefferson in Paris (1995),Drama,3,4
255,"Jerky Boys, The (1995)",Comedy,2.2,5
256,Junior (1994),Comedy|Sci-Fi,2.7023809523809526,42
257,Just Cause (1995),Mystery|Thriller,3.576923076923077,13
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,2.5,11
259,Kiss of Death (1995),Crime|Drama|Thriller,3.7,5
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.221649484536083,291
261,Little Women (1994),Drama,3.715686274509804,51
262,"Little Princess, A (1995)",Children|Drama,3.85,20
263,Ladybird Ladybird (1994),Drama,3,1
264,"Enfer, L' (1994)",Drama,4.5,2
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,3.879032258064516,62
266,Legends of the Fall (1994),Drama|Romance|War|Western,3.4863013698630136,73
267,Major Payne (1995),Comedy,2.730769230769231,13
268,Little Odessa (1994),Crime|Drama,4.25,4
269,My Crazy Life (Mi vida loca) (1993),Drama,3.6666666666666665,3
270,Love Affair (1994),Drama|Romance,3.2222222222222223,9
271,Losing Isaiah (1995),Drama,3.5,4
272,"Madness of King George, The (1994)",Comedy|Drama,4,39
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3.1296296296296298,27
274,Man of the House (1995),Comedy,2.6666666666666665,3
275,Mixed Nuts (1994),Comedy,2.8,5
276,Milk Money (1994),Comedy|Romance,2.8636363636363638,22
277,Miracle on 34th Street (1994),Drama,3.357142857142857,35
278,Miami Rhapsody (1995),Comedy,3,5
279,My Family (1995),Drama,2.875,4
280,Murder in the First (1995),Drama|Thriller,4.113636363636363,22
281,Nobody's Fool (1994),Comedy|Drama|Romance,3.861111111111111,18
282,Nell (1994),Drama,3.284090909090909,44
283,New Jersey Drive (1995),Crime|Drama,3,1
285,Beyond Bedlam (1993),Drama|Horror,4,1
287,Nina Takes a Lover (1994),Comedy|Romance,3.2,5
288,Natural Born Killers (1994),Action|Crime|Thriller,3.336448598130841,107
289,Only You (1994),Comedy|Romance,3.4642857142857144,14
290,Once Were Warriors (1994),Crime|Drama,3.9375,16
291,Poison Ivy II (1996),Drama|Thriller,2,6
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,3.309090909090909,110
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.071969696969697,132
294,"Perez Family, The (1995)",Comedy|Romance,3.3333333333333335,3
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,3,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.256172839506172,324
299,Priest (1994),Drama,3.75,16
300,Quiz Show (1994),Drama,3.75,90
301,Picture Bride (Bijo photo) (1994),Drama|Romance,5,1
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,3.7142857142857144,7
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,3.1875,24
304,Roommates (1995),Comedy|Drama,3.3333333333333335,3
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,2.75,12
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,4.171875,32
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,4.145161290322581,31
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,4.159090909090909,22
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,5,3
312,Stuart Saves His Family (1995),Comedy,3.6,5
313,"Swan Princess, The (1994)",Animation|Children,2.7142857142857144,7
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,3.9411764705882355,17
315,"Specialist, The (1994)",Action|Drama|Thriller,2.909090909090909,44
316,Stargate (1994),Action|Adventure|Sci-Fi,3.3689655172413793,145
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,2.9642857142857144,70
318,"Shawshank Redemption, The (1994)",Crime|Drama,4.487138263665595,311
319,Shallow Grave (1994),Comedy|Drama|Thriller,3.973684210526316,38
320,Suture (1993),Film-Noir|Thriller,2.75,4
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3.642857142857143,7
322,Swimming with Sharks (1995),Comedy|Drama,3.642857142857143,14
324,"Sum of Us, The (1994)",Comedy|Drama,3.3333333333333335,3
325,National Lampoon's Senior Trip (1995),Comedy,3,1
326,To Live (Huozhe) (1994),Drama,4.071428571428571,7
327,Tank Girl (1995),Action|Comedy|Sci-Fi,2.75,26
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,3.625,8
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,3.3508771929824563,114
330,Tales from the Hood (1995),Action|Crime|Horror,2.7,10
331,Tom & Viv (1994),Drama,3,6
332,Village of the Damned (1995),Horror|Sci-Fi,3.2,10
333,Tommy Boy (1995),Comedy,3.32,50
334,Vanya on 42nd Street (1994),Drama,3.0714285714285716,14
335,Underneath (1995),Mystery|Thriller,3,3
336,"Walking Dead, The (1995)",Drama|War,3,1
337,What's Eating Gilbert Grape (1993),Drama,3.7954545454545454,88
338,Virtuosity (1995),Action|Sci-Fi|Thriller,2.8,15
339,While You Were Sleeping (1995),Comedy|Romance,3.4405940594059405,101
340,"War, The (1994)",Adventure|Drama|War,3,8
341,Double Happiness (1994),Drama,4.5,2
342,Muriel's Wedding (1994),Comedy,3.4375,56
343,"Baby-Sitters Club, The (1995)",Children,3,1
344,Ace Ventura: Pet Detective (1994),Comedy,2.8714285714285714,175
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,3.75,48
346,Backbeat (1993),Drama|Musical,3,6
347,Bitter Moon (1992),Drama|Film-Noir|Romance,3.857142857142857,7
348,Bullets Over Broadway (1994),Comedy,3.9375,40
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,3.7869565217391306,115
350,"Client, The (1994)",Drama|Mystery|Thriller,3.3285714285714287,70
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,3.1923076923076925,13
352,Crooklyn (1994),Comedy|Drama,3.357142857142857,7
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,3.58955223880597,67
354,Cobb (1994),Drama,3.5,2
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,2.2051282051282053,39
356,Forrest Gump (1994),Comedy|Drama|Romance|War,4.05425219941349,341
357,Four Weddings and a Funeral (1994),Comedy|Romance,3.6844262295081966,122
358,Higher Learning (1995),Drama,2.4285714285714284,7
360,I Love Trouble (1994),Action|Comedy,2.5,12
361,It Could Happen to You (1994),Comedy|Drama|Romance,3.38,25
362,"Jungle Book, The (1994)",Adventure|Children|Romance,3.45,30
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,4.5,5
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3.7775,200
365,Little Buddha (1993),Drama,3,10
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,3.272727272727273,11
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,3.070063694267516,157
368,Maverick (1994),Adventure|Comedy|Western,3.535211267605634,71
369,Mrs. Parker and the Vicious Circle (1994),Drama,3.0555555555555554,9
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,3.0522388059701493,67
371,"Paper, The (1994)",Comedy|Drama,3.25,20
372,Reality Bites (1994),Comedy|Drama|Romance,3.0588235294117645,34
373,Red Rock West (1992),Thriller,4.138888888888889,18
374,Richie Rich (1994),Children|Comedy,2.1,20
375,Safe Passage (1994),Drama,3.6666666666666665,3
376,"River Wild, The (1994)",Action|Thriller,3.425531914893617,47
377,Speed (1994),Action|Romance|Thriller,3.566666666666667,180
378,Speechless (1994),Comedy|Romance,3.25,12
379,Timecop (1994),Action|Sci-Fi|Thriller,3.261904761904762,21
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,3.515151515151515,198
381,When a Man Loves a Woman (1994),Drama|Romance,3.1379310344827585,29
382,Wolf (1994),Drama|Horror|Romance|Thriller,3.1052631578947367,19
383,Wyatt Earp (1994),Western,3.1153846153846154,13
384,Bad Company (1995),Action|Crime|Drama,3.25,4
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,3.6666666666666665,3
388,Boys Life (1995),Drama,3.6666666666666665,6
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,4,1
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,4.1,5
391,Jason's Lyric (1994),Crime|Drama,3,3
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,2.6666666666666665,3
393,Street Fighter (1994),Action|Adventure|Fantasy,2.1,5
401,Mirage (1995),Action|Thriller,4,1
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,2.3125,16
407,In the Mouth of Madness (1995),Horror|Thriller,3.05,10
408,8 Seconds (1994),Drama,3,1
409,Above the Rim (1994),Crime|Drama,2.5,1
410,Addams Family Values (1993),Children|Comedy|Fantasy,3.1506849315068495,73
412,"Age of Innocence, The (1993)",Drama,3.54,25
413,Airheads (1994),Comedy,2.3076923076923075,26
414,"Air Up There, The (1994)",Comedy,2.5,7
415,Another Stakeout (1993),Comedy|Thriller,2.8333333333333335,12
416,Bad Girls (1994),Western,3.25,6
417,Barcelona (1994),Comedy|Romance,3.6153846153846154,13
418,Being Human (1993),Drama,3,2
419,"Beverly Hillbillies, The (1993)",Comedy,2.6,15
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,2.6315789473684212,57
421,Black Beauty (1994),Adventure|Children|Drama,3,11
422,Blink (1994),Thriller,3.7222222222222223,9
423,Blown Away (1994),Action|Thriller,3.392857142857143,14
424,Blue Chips (1994),Drama,3,3
425,Blue Sky (1994),Drama|Romance,3.875,4
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,3.1666666666666665,12
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,2.4285714285714284,14
428,"Bronx Tale, A (1993)",Drama,3.717391304347826,23
429,Cabin Boy (1994),Comedy,2.5555555555555554,9
431,Carlito's Way (1993),Crime|Drama,3.671875,32
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,2.6507936507936507,63
433,Clean Slate (1994),Comedy,2.857142857142857,7
434,Cliffhanger (1993),Action|Adventure|Thriller,3.0849056603773586,106
435,Coneheads (1993),Comedy|Sci-Fi,2.463636363636364,55
436,Color of Night (1994),Drama|Thriller,2.2,5
437,Cops and Robbersons (1994),Comedy,2.75,4
438,"Cowboy Way, The (1994)",Action|Comedy|Drama,3,2
439,Dangerous Game (1993),Drama,1,1
440,Dave (1993),Comedy|Romance,3.561111111111111,90
441,Dazed and Confused (1993),Comedy,3.6621621621621623,37
442,Demolition Man (1993),Action|Adventure|Sci-Fi,2.968421052631579,95
443,"Endless Summer 2, The (1994)",Adventure|Documentary,2.6666666666666665,6
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,3,7
445,Fatal Instinct (1993),Comedy,3.111111111111111,9
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,4,9
447,"Favor, The (1994)",Comedy|Romance,4,1
448,Fearless (1993),Drama,3.590909090909091,11
449,Fear of a Black Hat (1994),Comedy,3.5,2
450,With Honors (1994),Comedy|Drama,3.4375,16
451,Flesh and Bone (1993),Drama|Mystery|Romance,3.4285714285714284,7
452,Widows' Peak (1994),Drama,4,8
453,For Love or Money (1993),Comedy|Romance,2.4,5
454,"Firm, The (1993)",Drama|Thriller,3.4727272727272727,110
455,Free Willy (1993),Adventure|Children|Drama,2.838709677419355,31
456,Fresh (1994),Crime|Drama|Thriller,3.3333333333333335,6
457,"Fugitive, The (1993)",Thriller,3.9530516431924885,213
458,Geronimo: An American Legend (1993),Drama|Western,3.75,4
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,3.5,2
460,Getting Even with Dad (1994),Comedy,2.5,2
461,Go Fish (1994),Drama|Romance,3.3,5
463,Guilty as Sin (1993),Crime|Drama|Thriller,3.4285714285714284,7
464,Hard Target (1993),Action|Adventure|Crime|Thriller,3.111111111111111,9
465,Heaven & Earth (1993),Action|Drama|War,3.5,5
466,Hot Shots! Part Deux (1993),Action|Comedy|War,3.169491525423729,59
467,Live Nude Girls (1995),Comedy,3.3333333333333335,3
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,3.303030303030303,33
469,"House of the Spirits, The (1993)",Drama|Romance,3.125,8
470,House Party 3 (1994),Comedy,2,3
471,"Hudsucker Proxy, The (1994)",Comedy,3.877551020408163,49
472,I'll Do Anything (1994),Comedy|Drama,3.5,2
473,In the Army Now (1994),Comedy|War,1,3
474,In the Line of Fire (1993),Action|Thriller,3.8625,80
475,In the Name of the Father (1993),Drama,4.209677419354839,31
476,"Inkwell, The (1994)",Comedy|Drama,4,1
477,What's Love Got to Do with It? (1993),Drama|Musical,3.59375,16
479,Judgment Night (1993),Action|Crime|Thriller,3.25,4
